Site ID,Site name,Sample date/time,E. coli value (orgs/100 mL),E. coli qualifier
290400,Healesville,3/2/2022 8:45,2100,=
4991,Warrandyte,3/2/2022 9:30,180,=
4940,Kew,3/2/2022 10:45,4600,=
4991,Warrandyte,19/10/2022,86,=
4940,Kew,19/10/2022,63,=
290400,Healesville,10/20/2022 11:20,74,=
291600,Launching Place,10/20/2022 12:00,74,=
4940,Kew,10/27/2022 9:10,1100,=
4991,Warrandyte,10/27/2022 9:45,5200,=
290400,Healesville,10/27/2022 10:45,5200,=
291600,Launching Place,10/27/2022 11:35,6500,=
291600,Launching Place,11/3/2022 7:15,390,=
290400,Healesville,11/3/2022 8:00,500,=
4991,Warrandyte,11/3/2022 9:00,190,=
4940,Kew,11/3/2022 9:50,220,=
291600,Launching Place,11/9/2022 8:15,150,=
290400,Healesville,11/9/2022 8:45,310,=
4991,Warrandyte,11/9/2022 9:35,10,=
4940,Kew,11/9/2022 10:30,63,=
291600,Launching Place,11/16/2022 8:20,260,=
4991,Warrandyte,11/16/2022 8:55,750,=
290400,Healesville,11/16/2022 9:50,410,=
4940,Kew,11/16/2022 10:45,1000,=
291600,Launching Place,11/23/2022 8:50,95,=
290400,Healesville,11/23/2022 9:28,230,=
4991,Warrandyte,11/23/2022 10:12,110,=
4940,Kew,11/23/2022 11:10,220,=
291600,Launching Place,11/30/2022 8:20,52,=
290400,Healesville,11/30/2022 8:55,62,=
4991,Warrandyte,11/30/2022 9:45,20,=
4940,Kew,11/30/2022 11:05,20,=
4940,Kew,12/7/2022 0:00,130,=
291600,Launching Place,12/7/2022 9:30,86,=
290400,Healesville,12/7/2022 10:10,96,=
4991,Warrandyte,12/7/2022 11:00,20,=
291600,Launching Place,12/14/2022 8:35,500,=
290400,Healesville,12/14/2022 9:55,2400,=
4991,Warrandyte,12/14/2022 10:44,1100,=
4940,Kew,12/14/2022 11:30,1700,=
291600,Launching Place,12/21/2022 9:10,85,=
290400,Healesville,12/21/2022 9:30,51,=
4991,Warrandyte,12/21/2022 10:20,41,=
4940,Kew,12/21/2022 11:15,41,=
291600,Launching Place,12/29/2022 8:40,120,=
290400,Healesville,12/29/2022 9:00,200,=
4991,Warrandyte,12/29/2022 9:50,31,=
4940,Kew,12/29/2022 10:30,63,=
291600,Launching Place,04/01/2023 09:05,110,=
290400,Healesville,04/01/2023 09:30,110,=
4991,Warrandyte,04/01/2023 10:15,10,<
